zone,section,quality_score,rationale
Balcony,BAL301,0.48,Center 300-level balcony section 301; high but straight-on view considered best of balcony ring.
Balcony,BAL302,0.48,Center 300-level balcony section 302; high but straight-on view considered best of balcony ring.
Balcony,BAL303,0.48,Center 300-level balcony section 303; high but straight-on view considered best of balcony ring.
Balcony,BAL304,0.36,Corner 300-level balcony section 304; very high with angled view relative to center court or rink.
Balcony,BAL305,0.36,Corner 300-level balcony section 305; very high with angled view relative to center court or rink.
Balcony,BAL306,0.28,"End 300-level balcony section 306; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL307,0.28,"End 300-level balcony section 307; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL308,0.28,"End 300-level balcony section 308; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL309,0.28,"End 300-level balcony section 309; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL310,0.28,"End 300-level balcony section 310; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL311,0.28,"End 300-level balcony section 311; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL312,0.28,"End 300-level balcony section 312; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL313,0.36,Corner 300-level balcony section 313; very high with angled view relative to center court or rink.
Balcony,BAL314,0.36,Corner 300-level balcony section 314; very high with angled view relative to center court or rink.
Balcony,BAL315,0.48,Center 300-level balcony section 315; high but straight-on view considered best of balcony ring.
Balcony,BAL316,0.48,Center 300-level balcony section 316; high but straight-on view considered best of balcony ring.
Balcony,BAL317,0.48,Center 300-level balcony section 317; high but straight-on view considered best of balcony ring.
Balcony,BAL318,0.28,"End 300-level balcony section 318; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL319,0.28,"End 300-level balcony section 319; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL320,0.36,Corner 300-level balcony section 320; very high with angled view relative to center court or rink.
Balcony,BAL321,0.28,"End 300-level balcony section 321; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL322,0.28,"End 300-level balcony section 322; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL323,0.28,"End 300-level balcony section 323; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL324,0.28,"End 300-level balcony section 324; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL325,0.28,"End 300-level balcony section 325; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL326,0.28,"End 300-level balcony section 326; very high and behind basket or goal, furthest standard bowl view."
Balcony,BAL327,0.36,Corner 300-level balcony section 327; very high with angled view relative to center court or rink.
Balcony,BAL328,0.36,Corner 300-level balcony section 328; very high with angled view relative to center court or rink.
Balcony,BAL329,0.36,Corner 300-level balcony section 329; very high with angled view relative to center court or rink.
Balcony,BAL330,0.48,Center 300-level balcony section 330; high but straight-on view considered best of balcony ring.
Balcony,Balcony,0.38,Generic balcony label; represents typical 300-level upper-bowl seat with good atmosphere but distant view.
Balcony Baseline,308,0.28,"End 300-level balcony section 308; very high and behind basket or goal, furthest standard bowl view."
Balcony Baseline,310,0.28,"End 300-level balcony section 310; very high and behind basket or goal, furthest standard bowl view."
Balcony Baseline,324,0.28,"End 300-level balcony section 324; very high and behind basket or goal, furthest standard bowl view."
Balcony Center,301,0.48,Center 300-level balcony section 301; high and far from floor but with straight-on view of court or rink.
Balcony Center,302,0.48,Center 300-level balcony section 302; high and far from floor but with straight-on view of court or rink.
Balcony Center,315,0.48,Center 300-level balcony section 315; high and far from floor but with straight-on view of court or rink.
Balcony Center,316,0.48,Center 300-level balcony section 316; high and far from floor but with straight-on view of court or rink.
Balcony Center,317,0.48,Center 300-level balcony section 317; high and far from floor but with straight-on view of court or rink.
Balcony Center,330,0.48,Center 300-level balcony section 330; high and far from floor but with straight-on view of court or rink.
Balcony Corner,306,0.36,Corner 300-level balcony section 306; very high with angled view relative to center court or rink.
Balcony Corner,312,0.36,Corner 300-level balcony section 312; very high with angled view relative to center court or rink.
Balcony Corner,321,0.36,Corner 300-level balcony section 321; very high with angled view relative to center court or rink.
Balcony Corner,326,0.36,Corner 300-level balcony section 326; very high with angled view relative to center court or rink.
Boardroom,Boardroom,0.83,Boardroom premium lounge seating with comfortable chairs and upscale end-zone view plus hospitality access.
Club,CLB107,0.82,Lower-bowl club seating with plush chairs in CLB107; in-seat service and lounge access near the action.
Club,CLB109,0.82,Lower-bowl club seating with plush chairs in CLB109; in-seat service and lounge access near the action.
Club,CLB111,0.82,Lower-bowl club seating with plush chairs in CLB111; in-seat service and lounge access near the action.
Club,CLB113,0.82,Lower-bowl club seating with plush chairs in CLB113; in-seat service and lounge access near the action.
Club,CLB115,0.82,Lower-bowl club seating with plush chairs in CLB115; in-seat service and lounge access near the action.
Club,CLB137,0.82,Lower-bowl club seating with plush chairs in CLB137; in-seat service and lounge access near the action.
Club,CLB139,0.82,Lower-bowl club seating with plush chairs in CLB139; in-seat service and lounge access near the action.
Club,CLB141,0.82,Lower-bowl club seating with plush chairs in CLB141; in-seat service and lounge access near the action.
Club,CLB143,0.82,Lower-bowl club seating with plush chairs in CLB143; in-seat service and lounge access near the action.
Club,CLB145,0.82,Lower-bowl club seating with plush chairs in CLB145; in-seat service and lounge access near the action.
Club,Club,0.82,Generic club-seat designation; lower-bowl premium seating with plush chairs and access to exclusive lounges.
Club Center,109,0.84,Center club seating in section 109; excellent lower-bowl sideline view plus full club amenities.
Club Center,111,0.84,Center club seating in section 111; excellent lower-bowl sideline view plus full club amenities.
Club Center,113,0.84,Center club seating in section 113; excellent lower-bowl sideline view plus full club amenities.
Club Center,139,0.84,Center club seating in section 139; excellent lower-bowl sideline view plus full club amenities.
Club Center,141,0.84,Center club seating in section 141; excellent lower-bowl sideline view plus full club amenities.
Club Center,143,0.84,Center club seating in section 143; excellent lower-bowl sideline view plus full club amenities.
Club Corner,107,0.80,Corner club seating in section 107; strong proximity and amenities with a more angled sideline view.
Club Corner,115,0.80,Corner club seating in section 115; strong proximity and amenities with a more angled sideline view.
Club Corner,137,0.80,Corner club seating in section 137; strong proximity and amenities with a more angled sideline view.
Deck,Deck,0.78,Deck social area blending sports-bar atmosphere with reserved seating and an elevated end or corner view.
Floor,FLR11,0.89,Floor-level reserved seat in FLR11; extremely close to play with immersive experience but limited elevation.
Floor,FLR13,0.89,Floor-level reserved seat in FLR13; extremely close to play with immersive experience but limited elevation.
Floor,FLR17,0.89,Floor-level reserved seat in FLR17; extremely close to play with immersive experience but limited elevation.
Floor,FLR18,0.89,Floor-level reserved seat in FLR18; extremely close to play with immersive experience but limited elevation.
Floor,FLR2,0.89,Floor-level reserved seat in FLR2; extremely close to play with immersive experience but limited elevation.
Floor,FLR21,0.89,Floor-level reserved seat in FLR21; extremely close to play with immersive experience but limited elevation.
Floor,FLR6,0.89,Floor-level reserved seat in FLR6; extremely close to play with immersive experience but limited elevation.
Floor,FLR7,0.89,Floor-level reserved seat in FLR7; extremely close to play with immersive experience but limited elevation.
Garden View,Garden View,0.82,Garden View hospitality space providing upscale amenities and a good elevated perspective of the floor.
Lofts,LOFT01,0.81,Lofts semi-private premium box LOFT01 with curated dining and panoramic upper-level view above the main bowl.
Lofts,LOFT05,0.81,Lofts semi-private premium box LOFT05 with curated dining and panoramic upper-level view above the main bowl.
Lofts,LOFT06,0.81,Lofts semi-private premium box LOFT06 with curated dining and panoramic upper-level view above the main bowl.
Lofts,LOFT08,0.81,Lofts semi-private premium box LOFT08 with curated dining and panoramic upper-level view above the main bowl.
